"HGNC_Symbol","logFC","raw_P.value","adj_P.value"
"S100B",-0.59339328058103,0.00410201945925226,0.577471389453634
"LIPN",0.895953060924709,0.00413251574473976,0.577471389453634
"CCDC86",-0.443962340513659,0.0041524683645893,0.577471389453634
"KCNK13",-0.717857621595854,0.00417080956404453,0.577471389453634
"FBXW4P1",-0.974757424612577,0.00422470443058694,0.577471389453634
"ITGB3",0.473580757641431,0.00423493135710136,0.577471389453634
"CPEB2",0.693595237549029,0.00447056964901271,0.577471389453634
"GPCPD1",0.591592126492941,0.00449431470134442,0.577471389453634
"CCDC126",0.454469896143329,0.00451418272902885,0.577471389453634
"CTSW",-0.570802539328073,0.00456619859345383,0.577471389453634
"SPAG6",2.59515009835481,0.00459123484687047,0.577471389453634
"PDE3B",0.586987692548962,0.00462105612550417,0.577471389453634
"C9orf72",0.573116073053679,0.0046411555583098,0.577471389453634
"LDLR",-0.503545487918617,0.00467033601703105,0.577471389453634
"AKAP5",-0.50010346472099,0.00474019484329437,0.577471389453634
"MAN1A1",0.614091939883827,0.0047603151669281,0.577471389453634
"CR1",0.802823006559134,0.00479579987148638,0.577471389453634
"TRIM36",0.768157622275783,0.00482109043663272,0.577471389453634
"RITA1",-0.399123259840143,0.004916741128429,0.577471389453634
"IDI1",0.364267876477056,0.00495643362772847,0.577471389453634
"FAM201A",1.20860938048408,0.00498651229976046,0.577471389453634
"VCPKMT",0.40148680481299,0.0050582555936234,0.577471389453634
"TSPAN2",0.768109282348287,0.00508306293539171,0.577471389453634
"RFX3",0.358430569306998,0.00530676132844694,0.577471389453634
"MPO",-0.542431119511671,0.0053295975017516,0.577471389453634
"LRRC18",1.85509425049116,0.00533822173017062,0.577471389453634
"NT5C3A",0.41742693903573,0.00534408245465818,0.577471389453634
"NRXN2",-0.811897195316689,0.00540540587271483,0.577471389453634
"RPGR",0.637857099131093,0.00544676693727046,0.577471389453634
"TATDN3",0.38541005813787,0.0055302757765911,0.577471389453634
